round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possession_lost_home,possession_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
3,Napoli,Juventus,2,1,,,67,33,25,8,6,4,9,4,10,0,13,1,1,3,14,16,2,1,0,0,15,14,16,13,7,11,2,3,0,2,2,0,2,0,15,6,10,2,3,5,627,312,572,254,29,23,7,1,7,14,109,102,52,48,12,9,18,11,3,4,7,26
3,Atalanta,Fiorentina,1,2,,,55,45,13,7,5,2,7,2,1,3,10,3,2,1,13,19,4,4,0,0,18,12,22,15,2,8,5,2,4,0,,,,,13,6,0,1,0,4,492,425,422,354,26,43,11,0,7,9,122,106,51,48,15,9,11,18,8,6,8,28
3,Sampdoria,Inter,2,2,,,52,48,14,8,3,3,6,4,5,1,4,4,2,1,12,13,4,4,0,0,13,12,19,16,7,8,2,1,1,0,0,2,0,1,10,5,4,3,1,0,398,386,330,300,22,28,6,2,5,5,121,123,40,39,11,13,12,9,11,10,14,19
3,Cagliari,Genoa,2,3,,,52,48,9,11,3,3,4,4,2,4,2,6,1,2,15,15,2,3,0,0,14,14,22,15,5,7,2,3,1,1,1,1,1,1,6,5,3,6,0,1,490,439,400,369,21,28,4,6,3,6,134,133,49,45,12,10,20,15,4,6,17,11
3,Spezia,Udinese,0,1,,,56,44,19,9,6,4,7,4,6,1,4,5,1,2,12,14,1,2,0,0,12,12,22,19,6,11,,,,,1,1,1,1,7,5,12,4,3,5,461,369,394,310,32,26,5,2,15,7,112,123,62,39,12,6,24,14,3,10,21,13
3,Torino,Salernitana,4,0,,,60,40,15,8,7,2,5,3,3,3,7,4,1,1,10,11,0,2,0,0,9,10,23,21,3,6,5,0,1,0,1,2,1,2,12,4,3,4,2,3,493,328,410,239,32,15,11,6,5,1,134,139,43,38,19,18,10,9,14,10,17,17
3,Milan,Lazio,2,0,,,47,53,19,8,3,5,9,1,7,2,5,1,4,2,10,18,1,4,0,0,18,8,13,13,3,8,4,0,2,0,4,0,2,0,10,4,9,4,5,1,459,541,394,465,30,13,3,1,18,8,118,119,59,52,8,15,15,21,17,10,12,15
3,Roma,Sassuolo,2,1,,,49,51,17,14,6,7,9,6,2,1,4,6,1,6,7,11,2,1,0,0,11,5,20,21,6,16,3,4,2,3,0,1,0,1,13,9,4,5,6,5,445,458,386,403,24,28,5,2,8,7,95,103,32,24,5,3,8,9,3,12,19,11
3,Bologna,Hellas Verona,1,0,,,42,58,15,5,3,0,8,3,4,2,6,2,0,2,14,21,1,3,0,0,21,13,23,14,8,11,1,0,1,0,1,0,1,0,8,3,7,2,0,2,318,454,235,368,22,24,7,2,11,8,134,128,64,59,21,22,11,17,15,10,13,17
4,Sassuolo,Torino,0,1,,,53,47,10,18,2,6,4,11,4,1,6,3,1,4,7,19,0,4,0,0,19,7,24,20,13,7,1,5,1,5,,,,,5,12,5,6,3,2,453,402,355,326,36,19,3,3,10,6,144,119,52,37,15,12,8,12,10,11,12,9
4,Genoa,Fiorentina,1,2,,,35,65,9,16,3,5,3,6,3,5,1,11,3,1,13,16,4,4,0,0,15,11,17,18,7,5,2,1,1,1,0,1,0,1,4,9,5,7,3,2,322,584,254,516,19,52,4,5,10,6,113,125,49,48,10,11,14,20,12,4,31,7
4,Inter,Bologna,6,1,,,45,55,19,7,11,2,5,5,3,0,5,1,2,0,10,10,0,3,0,0,10,10,15,13,6,5,7,4,2,3,2,2,1,2,14,5,5,2,1,5,430,524,392,463,26,25,2,5,11,8,83,97,40,39,7,7,12,14,10,5,18,12
4,Salernitana,Atalanta,0,1,,,42,58,10,10,1,3,7,3,2,4,6,4,2,1,21,13,4,4,0,0,12,17,22,23,7,8,1,2,1,1,2,0,2,0,4,7,6,3,2,1,371,531,281,449,13,27,5,1,6,2,144,130,49,48,18,17,13,12,8,13,14,21
4,Empoli,Sampdoria,0,3,,,54,46,15,14,4,7,5,5,6,2,8,8,7,4,10,10,2,2,0,0,10,9,24,17,5,11,1,1,1,0,0,1,0,1,8,10,7,4,4,4,398,360,312,267,25,40,5,3,5,11,153,138,33,49,8,11,10,18,9,11,11,28
4,Venezia,Spezia,1,2,,,45,55,14,12,3,3,6,6,5,3,3,10,,,13,10,4,1,0,0,10,13,26,26,6,10,,,,,,,,,7,4,7,8,1,2,365,462,285,356,30,24,2,6,7,10,146,157,57,56,23,15,17,18,11,10,20,26
4,Hellas Verona,Roma,3,2,,,52,48,10,15,6,2,3,5,1,8,3,8,3,2,14,13,4,2,0,0,12,12,17,13,7,9,2,0,1,0,0,1,0,1,4,7,6,8,1,4,440,385,342,269,13,27,0,5,7,10,149,165,48,66,22,25,7,19,10,9,23,11
4,Lazio,Cagliari,2,2,,,73,27,28,10,10,3,8,4,10,3,10,1,1,4,3,11,1,3,0,1,11,3,27,17,6,17,1,5,1,3,,,,,18,6,10,4,1,8,686,256,606,167,25,26,8,3,17,12,144,128,51,41,12,10,11,16,7,19,2,34
4,Juventus,Milan,1,1,,,44,56,9,13,4,3,5,6,0,4,4,4,3,0,13,16,1,1,0,0,16,11,12,15,9,8,2,2,1,1,2,2,1,2,7,5,2,8,2,3,392,486,327,436,54,32,5,6,8,8,104,107,50,44,5,11,21,14,7,9,12,10
4,Udinese,Napoli,0,4,,,38,62,9,18,1,8,5,7,3,3,2,5,3,3,10,11,2,1,0,0,11,10,10,18,7,10,0,5,0,3,,,,,1,13,8,5,4,1,384,642,338,587,18,36,1,5,7,15,84,84,31,42,10,9,3,8,8,6,14,12
5,Bologna,Genoa,2,2,,,60,40,17,11,6,6,5,4,6,1,7,2,0,2,14,15,3,4,0,0,15,14,22,18,8,7,3,3,2,1,,,,,15,7,2,4,4,3,535,350,445,267,23,17,4,4,13,4,133,131,61,39,19,7,14,14,5,7,13,16
