number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
215,Torino,Genoa,0,0,45,55,10,6,2,2,6,2,2,2,3,5,1,1,13,15,2,4,0,0,15,13,,,3,11,,,,,0,1,,,,,5,3,5,3,2,2,400,502,292,396,35,42,4,3,5,3,,,66,57,28,28,18,14,13,11,,
236,Bologna,Lazio,2,0,41,59,11,20,6,7,4,6,1,7,4,7,0,3,9,18,1,2,0,0,18,8,,,10,4,2,2,0,2,,,1,0,,,5,14,6,6,8,4,363,521,272,423,20,29,2,8,13,6,,,66,52,18,20,17,18,10,9,,
231,Atalanta,Napoli,4,2,47,53,18,4,5,2,8,1,5,1,6,2,,,19,11,2,1,0,0,9,19,,,6,7,3,1,,,,,2,0,,,17,3,1,1,1,1,491,551,408,460,30,30,5,0,8,10,,,47,54,14,9,16,16,19,14,,
226,Lazio,Sampdoria,1,0,57,43,12,10,6,0,3,4,3,6,4,5,4,0,14,17,4,3,0,0,16,13,,,8,5,3,2,2,2,,,,,,,8,9,4,1,0,5,520,368,437,282,29,25,2,4,12,14,,,56,59,16,12,12,20,16,16,,
238,Sampdoria,Atalanta,0,2,45,55,8,20,3,8,5,7,0,5,5,6,1,2,7,17,1,3,0,0,17,6,,,5,4,0,1,,,,,0,2,,,4,15,4,5,6,2,478,593,358,477,26,23,2,2,7,19,,,69,58,20,14,25,19,11,11,,
230,Milan,Inter,0,3,60,40,14,16,8,6,4,7,2,3,7,7,3,1,9,10,2,1,0,0,10,9,,,6,10,0,5,0,3,,,0,1,,,8,12,6,4,3,8,568,383,502,315,20,31,6,3,12,7,,,56,37,16,9,18,12,8,15,,
210,Milan,Crotone,4,0,50,50,21,10,11,2,5,6,5,2,8,6,5,0,17,9,3,1,0,0,8,15,,,9,8,4,1,0,1,,,1,0,,,12,7,9,3,2,6,430,444,374,364,36,25,5,4,13,9,,,53,42,19,11,13,7,6,6,,
211,Udinese,Hellas Verona,2,0,46,54,16,6,8,0,5,3,3,3,10,8,1,0,9,15,2,4,0,0,14,8,,,9,10,3,0,3,0,,,,,,,13,4,3,2,0,6,381,449,285,348,27,29,4,2,1,9,,,51,45,24,17,13,11,13,19,,
224,Fiorentina,Spezia,3,0,38,62,10,10,5,2,3,4,2,4,0,6,3,1,20,11,4,0,0,0,11,20,,,11,3,3,1,1,1,,,1,0,,,10,6,0,4,2,2,333,547,245,461,30,29,3,4,4,6,,,45,60,19,18,11,16,18,11,,
225,Cagliari,Torino,0,1,47,53,18,10,1,5,10,5,7,0,8,3,0,3,20,19,3,2,0,0,18,20,,,7,15,0,1,0,1,,,2,2,,,10,7,8,3,4,1,347,407,230,287,20,32,7,1,7,9,,,73,70,34,32,16,11,15,23,,
