number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
184,Bordeaux,Nice,0,0,35,65,15,15,3,4,6,6,6,5,8,0,0,1,16,8,2,2,0,2,8,16,,,7,10,,,,,1,0,,,,,9,6,6,9,4,3,400,759,328,693,,,,,,,,,48,54,10,10,,,,,,
189,Olympique Lyon,Angers SCO,2,0,61,39,14,13,3,3,8,5,3,5,7,3,2,0,12,15,0,2,0,0,15,12,,,8,10,,,,,1,1,,,,,9,6,5,7,3,1,654,398,581,314,,,,,,,,,53,62,9,25,,,,,,
186,Lille,Stade Rennais,1,1,57,43,18,10,6,4,10,5,2,1,2,1,1,0,11,20,1,1,0,0,20,10,,,8,11,,,,,,,,,,,9,4,9,6,3,5,501,376,408,273,,,,,,,,,75,64,22,13,,,,,,
185,Dijon FCO,Toulouse,2,0,47,53,11,6,6,3,5,3,0,0,3,5,8,1,12,19,2,4,0,0,19,12,,,10,5,,,,,1,0,,,,,4,5,7,1,3,4,351,399,259,271,,,,,,,,,81,77,26,31,,,,,,
176,Stade Rennais,Bastia,1,2,65,35,12,14,4,5,7,6,1,3,6,6,4,1,15,11,1,0,0,0,9,13,,,6,15,,,,,,,,,,,8,8,4,6,3,3,579,301,457,180,,,,,,,,,75,64,19,22,,,,,,
178,SM Caen,Metz,3,0,53,47,17,16,8,3,8,7,1,6,4,6,,,8,13,2,3,0,1,12,7,,,9,6,,,,,1,1,0,2,,,10,4,7,12,3,5,438,376,352,288,,,,,,,,,51,53,20,14,,,,,,
191,Saint-Étienne,AS Nancy,0,0,64,36,18,5,3,3,8,2,7,0,12,2,0,3,14,11,1,1,0,1,10,14,,,3,11,,,,,,,,,,,11,0,7,5,3,3,479,273,378,167,,,,,,,,,65,63,18,22,,,,,,
183,Bastia,Olympique Marseille,1,2,42,58,16,7,4,3,6,2,6,2,6,4,3,6,7,13,1,3,0,0,12,7,,,5,8,3,2,2,1,,,,,,,10,7,6,0,1,3,354,501,275,429,21,40,5,2,11,15,,,50,60,8,14,18,24,17,21,,
190,Paris Saint-Germain,Lorient,5,0,62,38,19,4,7,1,10,2,2,1,13,3,4,0,8,10,0,1,0,0,9,8,,,3,10,,,,,,,,,,,15,1,5,3,1,2,686,408,630,340,,,,,,,,,45,33,12,5,,,,,,
187,Metz,Guingamp,2,2,42,58,9,9,5,4,3,2,1,3,5,2,0,3,16,11,2,1,0,0,11,16,,,5,6,,,,,,,,,,,5,7,4,2,2,3,374,502,281,419,,,,,,,,,56,71,16,16,,,,,,
