number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away,home_odd,draw_odd,away_odd
27,Antofagasta,Palestino,2,1,,,32,8,10,2,12,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,206,,,,,,,,,,,,,,,,,,,0.3,3.2,1.0
57,Unión Española,Universidad de Chile,0,0,,,6,0,4,0,4,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,304,,,,,,,,,,,,,,,,,,,5.333333333333333,0.18181818181818182,0.4
41,Deportes Iquique,Colo-Colo,1,1,,,4,10,2,0,6,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,166,,,,,,,,,,,,,,,,,,,1.7142857142857142,2.0,3.75
55,Huachipato,Deportes Iquique,1,0,,,12,14,0,0,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,406,,,,,,,,,,,,,,,,,,,1.9,2.6,1.0
45,Audax Italiano,Universidad Católica,2,2,,,0,4,2,4,6,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,272,,,,,,,,,,,,,,,,,,,0.375,0.5,0.9
54,Santiago Wanderers,Audax Italiano,1,3,,,0,16,0,2,4,4,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,372,,,,,,,,,,,,,,,,,,,1.5,2.75,0.3333333333333333
63,Audax Italiano,Everton de Viña del Mar,3,0,,,24,6,4,4,2,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,440,,,,,,,,,,,,,,,,,,,0.2,0.16666666666666666,0.3333333333333333
51,Universidad de Concepción,Curicó Unido,0,1,,,16,12,2,0,10,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,200,,,,,,,,,,,,,,,,,,,0.2857142857142857,0.8,6.0
56,Curicó Unido,Antofagasta,0,1,,,10,8,0,0,0,8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,266,,,,,,,,,,,,,,,,,,,0.8181818181818182,0.0,1.5
61,Universidad Católica,Colo-Colo,0,1,,,4,2,4,0,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,84,,,,,,,,,,,,,,,,,,,1.5,0.6,0.0
47,Antofagasta,Huachipato,1,0,,,24,10,8,0,8,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,442,,,,,,,,,,,,,,,,,,,2.5,0.6,2.4285714285714284
48,Colo-Colo,San Luis de Quillota,3,0,,,2,6,6,0,6,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,606,,,,,,,,,,,,,,,,,,,4.5,0.7777777777777778,0.8333333333333334
67,Antofagasta,Universidad de Chile,0,2,,,16,10,4,10,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,92,,,,,,,,,,,,,,,,,,,0.0,1.6666666666666667,1.5
81,Palestino,Huachipato,0,1,,,6,12,0,12,2,8,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,36,,,,,,,,,,,,,,,,,,,1.1818181818181819,4.5,8.5
65,Deportes Temuco,San Luis de Quillota,1,1,,,6,16,2,2,4,8,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,94,,,,,,,,,,,,,,,,,,,0.7,4.0,1.6666666666666667
75,San Luis de Quillota,Antofagasta,1,3,,,8,32,4,10,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,116,,,,,,,,,,,,,,,,,,,0.0,1.1,1.0
66,Palestino,Unión Española,4,0,,,6,10,10,0,2,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,260,,,,,,,,,,,,,,,,,,,0.0,0.75,1.8571428571428572
76,Santiago Wanderers,Everton de Viña del Mar,3,3,,,16,32,12,10,2,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346,268,,,,,,,,,,,,,,,,,,,0.75,1.3333333333333333,1.7142857142857142
64,Everton de Viña del Mar,Curicó Unido,1,1,,,0,8,14,6,8,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,370,,,,,,,,,,,,,,,,,,,1.2,1.7777777777777777,1.5714285714285714
73,Huachipato,Universidad Católica,3,1,,,20,26,6,0,4,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,84,,,,,,,,,,,,,,,,,,,1.4,1.3333333333333333,1.25
94,Deportes Temuco,Antofagasta,1,0,,,6,18,0,2,6,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,324,,,,,,,,,,,,,,,,,,,1.7142857142857142,2.5714285714285716,2.75
71,O'Higgins,Audax Italiano,1,2,,,4,6,4,2,4,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,114,,,,,,,,,,,,,,,,,,,3.6666666666666665,0.0,2.5
70,Universidad de Concepción,Huachipato,1,0,,,2,20,6,0,2,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,232,,,,,,,,,,,,,,,,,,,0.25,2.2857142857142856,1.7272727272727273
69,Colo-Colo,Santiago Wanderers,2,0,,,8,10,4,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,238,,,,,,,,,,,,,,,,,,,2.3333333333333335,0.0,0.9090909090909091
68,Universidad Católica,Deportes Iquique,2,0,,,10,4,10,4,0,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,196,,,,,,,,,,,,,,,,,,,1.7272727272727273,5.0,0.18181818181818182
89,Santiago Wanderers,Universidad de Chile,0,1,,,10,22,0,2,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,364,,,,,,,,,,,,,,,,,,,1.5,7.5,0.375
80,Deportes Temuco,Colo-Colo,1,0,,,14,18,4,0,14,12,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,94,,,,,,,,,,,,,,,,,,,4.75,3.6,0.2
77,Universidad de Concepción,O'Higgins,2,2,,,0,6,12,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,714,,,,,,,,,,,,,,,,,,,1.4,0.25,0.36363636363636365
95,Colo-Colo,Unión Española,5,2,,,0,10,4,0,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,306,,,,,,,,,,,,,,,,,,,2.5714285714285716,5.666666666666667,0.25
72,Deportes Iquique,Deportes Temuco,0,1,,,26,4,8,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,260,,,,,,,,,,,,,,,,,,,8.5,1.4285714285714286,3.8
88,Universidad de Concepción,Palestino,1,1,,,14,14,0,0,6,10,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,206,,,,,,,,,,,,,,,,,,,1.3636363636363635,0.9090909090909091,1.5
78,Curicó Unido,Unión Española,0,1,,,24,14,6,4,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,206,,,,,,,,,,,,,,,,,,,0.16666666666666666,6.0,1.0
82,Unión Española,Deportes Iquique,4,2,,,12,12,4,10,4,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396,232,,,,,,,,,,,,,,,,,,,0.2,1.3333333333333333,0.5
84,Universidad de Chile,Universidad Católica,1,0,,,8,0,0,6,2,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,66,,,,,,,,,,,,,,,,,,,2.6,3.1666666666666665,1.0
74,Audax Italiano,Colo-Colo,0,3,,,8,10,2,10,4,14,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,338,,,,,,,,,,,,,,,,,,,0.36363636363636365,1.4285714285714286,0.5
98,Universidad de Chile,Audax Italiano,0,3,,,24,22,6,4,6,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,14,,,,,,,,,,,,,,,,,,,0.0,1.0,6.333333333333333
100,Curicó Unido,Huachipato,1,0,,,8,14,0,2,4,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,478,,,,,,,,,,,,,,,,,,,4.0,3.8,1.3
87,O'Higgins,Santiago Wanderers,0,3,,,2,10,0,6,10,6,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,414,,,,,,,,,,,,,,,,,,,0.8,8.5,2.0
113,Huachipato,Colo-Colo,0,3,,,4,38,0,8,2,12,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,318,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.625,3.5
83,Curicó Unido,San Luis de Quillota,1,0,,,0,0,0,4,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,210,,,,,,,,,,,,,,,,,,,0.4,0.0,2.8333333333333335
99,O'Higgins,Universidad Católica,3,1,,,6,16,10,0,2,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,248,,,,,,,,,,,,,,,,,,,4.0,0.6666666666666666,1.4285714285714286
85,Everton de Viña del Mar,Universidad de Concepción,2,1,,,6,6,10,12,14,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,312,,,,,,,,,,,,,,,,,,,5.5,3.5,0.1
79,Universidad de Chile,Palestino,2,1,,,14,16,8,4,2,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,318,,,,,,,,,,,,,,,,,,,0.9090909090909091,0.6666666666666666,1.0
93,Deportes Iquique,O'Higgins,0,1,,,0,10,8,0,12,4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,388,,,,,,,,,,,,,,,,,,,4.0,1.3,0.5
119,Palestino,Santiago Wanderers,0,0,,,8,0,0,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,366,,,,,,,,,,,,,,,,,,,0.1,0.4,1.6
102,Antofagasta,Santiago Wanderers,2,2,,,18,10,0,0,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,220,,,,,,,,,,,,,,,,,,,0.0,4.0,1.0
118,Curicó Unido,O'Higgins,1,0,,,0,6,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,648,,,,,,,,,,,,,,,,,,,2.4,2.4285714285714284,1.6
92,Universidad Católica,San Luis de Quillota,0,2,,,16,8,0,2,0,6,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538,158,,,,,,,,,,,,,,,,,,,1.875,0.09090909090909091,4.0
114,Unión Española,Everton de Viña del Mar,2,0,,,0,10,6,4,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,492,,,,,,,,,,,,,,,,,,,0.0,4.666666666666667,5.5
86,Antofagasta,Audax Italiano,1,1,,,16,0,0,2,12,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,202,,,,,,,,,,,,,,,,,,,0.1111111111111111,5.333333333333333,0.3333333333333333
91,Audax Italiano,Curicó Unido,2,0,,,6,18,2,6,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,310,,,,,,,,,,,,,,,,,,,0.0,2.6,1.3333333333333333
