round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possession_lost_home,possession_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
32,Troyes,RC Strasbourg,1,1,,,38,62,11,12,3,4,3,6,5,2,5,9,2,0,12,20,1,2,0,0,18,10,16,21,7,4,1,2,0,1,,,,,9,8,2,4,2,2,314,512,229,428,27,42,4,9,10,12,129,141,51,49,8,17,16,10,10,9,21,14
32,Olympique Lyonnais,Bordeaux,6,1,,,60,40,15,17,9,5,3,7,3,5,3,5,8,1,8,13,,,0,0,13,8,18,20,7,8,5,2,2,1,,,,,11,9,4,8,4,3,568,373,484,270,34,28,4,2,10,7,148,140,47,59,13,19,11,25,12,11,16,22
32,Paris Saint-Germain,Olympique de Marseille,2,1,,,42,58,7,3,3,1,3,1,1,1,3,4,7,4,16,12,6,1,0,0,10,16,20,15,3,7,2,1,,,0,1,0,1,5,2,2,1,0,1,478,651,422,594,19,39,0,2,8,8,105,105,36,49,2,3,16,22,8,6,12,3
33,AS Monaco,Nice,1,0,,,48,52,17,15,7,2,4,7,6,6,7,10,1,1,19,11,5,2,0,0,10,17,23,25,11,6,2,1,1,1,3,0,3,0,11,7,6,8,2,6,375,402,274,321,34,14,4,8,10,5,153,154,51,51,13,15,18,14,9,12,17,22
33,Bordeaux,Saint-Étienne,2,2,,,46,54,11,9,7,2,3,5,1,2,5,4,5,2,17,18,5,6,0,0,18,16,32,29,7,2,2,2,1,2,1,0,1,0,7,7,4,2,0,5,370,417,269,317,28,25,4,3,8,7,156,157,69,53,14,13,30,18,11,5,11,8
33,Lorient,Metz,1,0,,,42,58,16,20,5,5,4,10,7,5,9,12,3,1,13,17,2,2,0,0,17,12,20,20,12,5,3,3,2,3,1,1,1,1,10,12,6,8,4,4,321,441,224,347,27,32,5,11,12,9,158,161,63,61,14,22,20,18,9,10,28,22
33,Stade de Reims,Lille,2,1,,,41,59,10,20,4,5,3,9,3,6,5,2,2,1,13,8,1,1,0,0,8,12,17,25,13,4,,,,,1,0,1,0,7,10,3,10,4,3,376,558,303,477,19,30,2,4,6,8,142,140,46,52,9,8,23,25,22,10,13,10
33,Troyes,Clermont Foot,0,1,,,50,50,15,3,3,1,8,2,4,0,5,2,0,1,11,15,3,6,1,1,14,11,24,19,9,12,2,1,2,0,,,,,7,1,8,2,0,3,420,444,345,354,35,21,8,0,9,8,125,132,55,45,14,12,18,14,7,7,11,31
33,Angers,Paris Saint-Germain,0,3,,,43,57,8,15,1,8,5,5,2,2,3,7,1,2,5,11,1,2,0,1,11,5,6,16,8,7,2,4,2,2,,,,,4,7,4,8,5,1,467,638,422,576,27,31,3,7,5,12,90,90,27,35,3,4,8,14,13,7,7,12
33,Olympique de Marseille,Nantes,3,2,,,77,23,19,4,5,3,11,0,3,1,7,3,1,5,10,15,2,5,0,1,15,10,23,11,1,11,5,2,2,1,,,,,15,3,4,1,1,2,771,235,713,168,26,13,9,1,15,7,105,96,53,39,15,5,8,17,5,11,9,15
