number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
316,1,2,1,1,35,65,11,18,3,2,5,10,3,6,4,10,2,4,17,13,3,1,0,0,12,17,,,15,6,,,,,0,1,2,0,,,6,7,5,11,1,2,235,428,152,335,,,,,,,,,53,63,20,27,,,,,,
317,1,2,0,1,37,63,,,3,4,2,6,,,1,6,3,2,15,7,2,0,0,0,9,18,,,10,6,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,
306,1,2,1,4,56,44,0,0,6,6,6,1,0,0,2,4,2,2,8,15,2,3,1,0,17,10,,,2,15,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,
319,1,2,4,2,53,47,,,6,3,0,3,,,1,5,4,4,9,13,0,3,0,0,17,13,,,4,6,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
330,1,2,0,0,75,25,28,7,8,3,13,3,7,1,5,2,0,1,0,0,1,0,0,0,8,6,,,4,17,,,,,1,1,0,1,,,17,6,11,1,3,8,798,273,717,185,,,,,,,,,56,43,14,15,,,,,,
314,1,2,0,1,57,43,14,11,3,3,9,6,2,2,9,6,5,2,11,12,3,4,0,1,10,11,,,7,15,,,,,0,1,,,,,9,8,5,3,2,3,468,363,368,247,,,,,,,,,64,71,16,21,,,,,,
318,1,2,0,1,45,55,,,5,2,3,4,,,5,6,4,3,11,6,2,1,0,0,9,15,,,8,9,,,,,,,,,,,,,,,0,5,,,,,,,,,,,,,,,,,,,,,,
324,1,2,2,0,41,59,18,10,6,6,10,2,2,2,6,3,0,3,6,5,0,2,0,0,5,6,,,9,11,,,,,,,3,0,,,12,3,6,7,6,4,355,534,247,440,,,,,,,,,69,44,19,11,,,,,,
321,1,2,3,3,63,37,21,11,7,5,9,3,5,3,7,3,4,2,0,0,0,4,0,0,11,8,,,7,7,,,,,,,2,0,,,13,7,8,4,2,4,464,259,345,166,,,,,,,,,67,70,30,30,,,,,,
320,1,2,2,0,55,45,,,6,3,4,5,,,6,6,3,2,8,16,2,1,0,1,18,11,,,7,9,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,
328,1,2,1,3,38,62,11,14,5,8,3,3,3,3,4,3,1,5,11,13,2,4,0,0,13,9,,,7,9,,,,,,,0,2,,,7,7,4,7,5,4,327,544,218,447,,,,,,,,,83,54,12,11,,,,,,
325,1,2,2,1,48,52,15,12,2,6,9,3,4,3,2,5,3,2,17,17,0,4,0,0,15,16,,,7,10,,,,,1,0,1,2,,,9,7,6,5,3,0,412,447,296,331,,,,,,,,,53,65,19,20,,,,,,
326,1,2,1,0,29,71,7,15,2,2,2,8,3,5,3,7,2,3,13,11,3,1,0,0,10,13,,,7,3,,,,,1,1,1,0,,,3,7,4,8,2,1,283,664,202,607,,,,,,,,,63,59,14,17,,,,,,
336,1,2,1,1,60,40,23,15,8,5,8,8,7,2,9,8,2,1,14,15,2,3,0,0,15,14,,,12,10,,,,,,,1,0,,,10,10,13,5,4,7,415,274,320,195,,,,,,,,,70,47,29,8,,,,,,
334,1,2,2,3,48,52,12,11,4,6,6,3,2,2,9,6,0,3,14,9,1,2,0,0,9,14,,,6,8,,,,,,,,,,,9,8,3,3,3,2,410,460,316,369,,,,,,,,,62,64,16,24,,,,,,
342,1,2,3,2,50,50,11,9,4,5,4,1,3,3,5,3,0,3,13,12,2,1,0,0,12,11,,,6,6,,,,,0,1,0,2,,,7,6,4,3,3,1,441,429,351,324,,,,,,,,,54,38,19,6,,,,,,
327,1,2,2,0,66,34,18,9,3,3,7,3,8,3,6,3,5,4,10,6,2,2,0,0,6,10,,,5,9,,,,,,,4,0,,,15,7,4,2,3,2,675,336,612,261,,,,,,,,,38,47,12,15,,,,,,
322,1,2,0,2,68,32,19,8,4,4,10,3,5,1,7,6,1,2,17,17,3,3,0,0,17,16,,,2,17,,,,,1,0,,,,,13,4,6,4,1,4,460,221,373,133,,,,,,,,,67,66,16,22,,,,,,
335,1,2,0,0,53,47,18,8,7,2,6,5,5,1,6,6,3,4,14,12,1,0,0,0,10,13,,,14,12,,,,,0,1,2,2,,,12,4,6,4,2,7,305,269,183,154,,,,,,,,,62,60,34,27,,,,,,
329,1,2,1,0,31,69,7,12,4,9,2,1,1,2,7,7,1,0,10,10,2,0,0,0,9,10,,,6,3,,,,,,,,,,,4,6,3,6,9,3,260,591,168,498,,,,,,,,,57,66,14,15,,,,,,
323,1,2,1,0,65,35,21,10,8,1,9,5,4,4,5,6,1,0,12,15,1,4,0,1,15,12,,,9,10,,,,,1,0,6,2,,,10,4,11,6,1,7,506,263,420,164,,,,,,,,,57,53,20,29,,,,,,
345,1,2,2,0,47,53,17,9,4,3,7,4,6,2,6,2,1,0,9,18,1,4,0,1,17,9,,,6,11,,,,,1,0,,,,,10,3,7,6,3,2,413,472,321,368,,,,,,,,,56,63,18,26,,,,,,
333,1,2,0,2,46,54,7,21,3,7,3,10,1,4,0,9,5,0,15,10,,,0,0,10,14,,,13,6,,,,,0,1,0,2,,,5,10,2,11,5,3,351,401,261,317,,,,,,,,,67,64,30,26,,,,,,
346,1,2,1,0,60,40,29,9,7,2,8,5,14,2,13,3,2,2,11,7,3,2,0,1,5,9,,,8,11,,,,,,,,,,,17,6,12,3,2,5,454,307,362,216,,,,,,,,,32,43,18,19,,,,,,
332,1,2,0,1,59,41,12,8,4,4,2,4,6,0,6,4,1,2,16,16,3,0,0,0,14,16,,,6,9,,,,,1,0,0,1,,,11,5,1,3,3,5,406,273,290,147,,,,,,,,,82,76,54,37,,,,,,
337,1,2,0,0,26,74,10,22,4,4,6,9,0,9,2,4,1,1,12,11,1,0,0,0,10,12,,,14,8,,,,,0,1,,,,,5,7,5,15,4,4,236,673,128,572,,,,,,,,,63,51,17,19,,,,,,
341,1,2,3,0,47,53,19,12,7,3,8,7,4,2,10,7,3,1,10,13,1,6,0,2,13,9,,,13,8,,,,,,,,,,,16,5,3,7,3,4,301,341,212,256,,,,,,,,,89,52,38,14,,,,,,
351,1,2,0,2,73,27,22,10,4,3,9,4,9,3,15,1,2,1,0,0,2,3,0,0,9,10,,,7,11,,,,,1,0,1,0,,,16,6,6,4,1,4,595,230,511,146,,,,,,,,,47,56,8,13,,,,,,
343,1,2,2,1,62,38,25,10,8,2,10,7,7,1,9,6,3,3,9,18,2,5,0,1,16,9,,,13,15,,,,,,,1,0,,,11,3,14,7,1,6,475,284,371,175,,,,,,,,,63,58,16,22,,,,,,
